════════════════════════════════════════════════════════════════════════════════════════════════════════════════
                              ENCUENTRO MULTIDISCIPLINARIO VÓRTICE 2025
                                    LISTA DE PARTICIPANTES
                                Generado: 30/09/2025 22:20:05
════════════════════════════════════════════════════════════════════════════════════════════════════════════════


▼ RAYANDO-ANDO - 120/120 inscritos
────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  A20118588 | Ana Laura Díaz Hernández            | Contaduría Pública        | Femenino   | Sem: 8 | Rayando-Ando
  A20247456 | Jorge Alberto Díaz Hernández        | Arquitectura              | Masculino  | Sem: 5 | Geek-Introvertido
  A20033671 | Jorge Alberto Gutiérrez Díaz        | Psicología                | Masculino  | Sem: 4 | Geek-Introvertido
  A20193308 | Jorge Alberto Jiménez Ruiz          | Contaduría Pública        | Masculino  | Sem: 8 | Geek-Introvertido
  A20196262 | Jorge Alberto López Castillo        | Diseño Gráfico            | Masculino  | Sem: 4 | Geek-Introvertido
  A20151197 | Jorge Alberto Martínez Castillo     | Ingeniería Civil          | Masculino  | Sem: 8 | Geek-Introvertido
  A20194026 | Jorge Alberto Martínez Gómez        | Diseño Gráfico            | Masculino  | Sem: 2 | Geek-Introvertido
  A20135470 | Jorge Alberto Martínez Gutiérrez    | Arquitectura              | Masculino  | Sem: 2 | Geek-Introvertido
  A20164847 | Jorge Alberto Mendoza Mendoza       | Ingeniería Industrial     | Masculino  | Sem: 8 | Geek-Introvertido
  A20182028 | Jorge Alberto Rodríguez Gómez       | Diseño Gráfico            | Masculino  | Sem: 8 | Geek-Introvertido
  A20116501 | Jorge Alberto Rodríguez Ruiz        | Diseño Gráfico            | Masculino  | Sem: 7 | Geek-Introvertido
  A20036374 | Jorge Alberto Ruiz García           | Derecho                   | Masculino  | Sem: 10 | Geek-Introvertido
  A20011864 | José Antonio Castillo Hernández     | Contaduría Pública        | Masculino  | Sem: 10 | Geek-Introvertido
  A20094547 | José Antonio Flores Martínez        | Diseño Gráfico            | Masculino  | Sem: 3 | Geek-Introvertido
  A20080369 | José Antonio Flores Mendoza         | Arquitectura              | Masculino  | Sem: 5 | Geek-Introvertido
  A20184808 | José Antonio Flores Ramírez         | Ingeniería Industrial     | Masculino  | Sem: 9 | Geek-Introvertido
  A20182037 | José Antonio García Gómez           | Ingeniería Industrial     | Masculino  | Sem: 5 | Geek-Introvertido
  A20198883 | José Antonio García Martínez        | Ingeniería Civil          | Masculino  | Sem: 5 | Geek-Introvertido
  A20129318 | José Antonio Gómez Ramírez          | Ingeniería Mecatrónica    | Masculino  | Sem: 6 | Geek-Introvertido
  A20148244 | José Antonio López Sánchez          | Arquitectura              | Masculino  | Sem: 5 | Geek-Introvertido
  A20235608 | José Antonio Ruiz Mendoza           | Derecho                   | Masculino  | Sem: 5 | Geek-Introvertido
  A20074456 | Juan Carlos Castillo Pérez          | Contaduría Pública        | Masculino  | Sem: 3 | Geek-Introvertido
  A20177837 | Juan Carlos Flores González         | Ingeniería Civil          | Masculino  | Sem: 9 | Geek-Introvertido
  A20083435 | Juan Carlos García Ortiz            | Contaduría Pública        | Masculino  | Sem: 10 | Geek-Introvertido
  A20002590 | Juan Carlos Gómez Álvarez           | Arquitectura              | Masculino  | Sem: 2 | Geek-Introvertido
  A20246392 | Juan Carlos González García         | Administración de Empresas | Masculino  | Sem: 6 | Geek-Introvertido
  A20161394 | Juan Carlos Ortiz Hernández         | Ingeniería Industrial     | Masculino  | Sem: 6 | Geek-Introvertido
  A20136879 | Juan Carlos Reyes Gómez             | Ingeniería Civil          | Masculino  | Sem: 3 | Geek-Introvertido
  A20112628 | Juan Carlos Sánchez Jiménez         | Contaduría Pública        | Masculino  | Sem: 8 | Geek-Introvertido
  A20112017 | Juan Carlos Torres Mendoza          | Arquitectura              | Masculino  | Sem: 1 | Geek-Introvertido
  A20246522 | Laura Patricia Díaz Díaz            | Diseño Gráfico            | Femenino   | Sem: 2 | Geek-Introvertido
  A20200208 | Laura Patricia Gutiérrez Hernández  | Administración de Empresas | Femenino   | Sem: 7 | Geek-Introvertido
  A20131682 | Laura Patricia Gutiérrez Ramírez    | Ingeniería Mecatrónica    | Femenino   | Sem: 8 | Geek-Introvertido
  A20102317 | Laura Patricia Rivera Ruiz          | Psicología                | Femenino   | Sem: 7 | Geek-Introvertido
  A20077710 | Laura Patricia Sánchez Ortiz        | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 5 | Geek-Introvertido
  A20015525 | Luis Miguel Castillo Martínez       | Psicología                | Masculino  | Sem: 5 | Geek-Introvertido
  A20023517 | Luis Miguel Castillo Torres         | Psicología                | Masculino  | Sem: 9 | Geek-Introvertido
  A20109806 | Luis Miguel Díaz Gutiérrez          | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 5 | Geek-Introvertido
  A20215712 | Luis Miguel Gómez Sánchez           | Psicología                | Masculino  | Sem: 1 | Geek-Introvertido
  A20040484 | Luis Miguel Jiménez Castillo        | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 3 | Geek-Introvertido
  A20058123 | Luis Miguel Ortiz Gómez             | Diseño Gráfico            | Masculino  | Sem: 2 | Geek-Introvertido
  A20176516 | Luis Miguel Pérez Rodríguez         | Diseño Gráfico            | Masculino  | Sem: 3 | Geek-Introvertido
  A20081991 | Luis Miguel Reyes Mendoza           | Psicología                | Masculino  | Sem: 6 | Geek-Introvertido
  A20231706 | Luis Miguel Rivera Torres           | Administración de Empresas | Masculino  | Sem: 9 | Geek-Introvertido
  A20051275 | Luis Miguel Rodríguez López         | Ingeniería Mecatrónica    | Masculino  | Sem: 9 | Geek-Introvertido
  A20018538 | Luis Miguel Ruiz Mendoza            | Ingeniería Mecatrónica    | Masculino  | Sem: 2 | Geek-Introvertido
  A20067628 | Luis Miguel Torres Hernández        | Psicología                | Masculino  | Sem: 9 | Geek-Introvertido
  A20152294 | Luis Miguel Torres Rivera           | Psicología                | Masculino  | Sem: 10 | Geek-Introvertido
  A20144744 | María Elena Álvarez Gómez           | Arquitectura              | Femenino   | Sem: 2 | Geek-Introvertido
  A20182803 | María Elena Álvarez Sánchez         | Ingeniería Mecatrónica    | Femenino   | Sem: 2 | Geek-Introvertido
  A20176614 | María Elena Flores Reyes            | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 8 | Geek-Introvertido
  A20095469 | María Elena Gómez Jiménez           | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 5 | Geek-Introvertido
  A20163705 | María Elena González Gómez          | Ingeniería Mecatrónica    | Femenino   | Sem: 5 | Geek-Introvertido
  A20231877 | María Elena Hernández Gutiérrez     | Psicología                | Femenino   | Sem: 4 | Geek-Introvertido
  A20141587 | María Elena López Pérez             | Arquitectura              | Femenino   | Sem: 4 | Geek-Introvertido
  A20108327 | María Elena Ruiz Gómez              | Diseño Gráfico            | Femenino   | Sem: 2 | Geek-Introvertido
  A20015260 | Miguel Ángel Flores Jiménez         | Ingeniería Civil          | Masculino  | Sem: 8 | Geek-Introvertido
  A20214996 | Miguel Ángel Jiménez Morales        | Administración de Empresas | Masculino  | Sem: 9 | Geek-Introvertido
  A20035191 | Miguel Ángel Mendoza Jiménez        | Arquitectura              | Masculino  | Sem: 8 | Geek-Introvertido
  A20059905 | Miguel Ángel Morales Mendoza        | Diseño Gráfico            | Masculino  | Sem: 6 | Geek-Introvertido
  A20023220 | Miguel Ángel Ramírez Gutiérrez      | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 5 | Geek-Introvertido
  A20088775 | Óscar David Cruz Pérez              | Ingeniería Industrial     | Masculino  | Sem: 4 | Geek-Introvertido
  A20069815 | Óscar David Jiménez Rodríguez       | Administración de Empresas | Masculino  | Sem: 3 | Geek-Introvertido
  A20145935 | Óscar David Morales García          | Derecho                   | Masculino  | Sem: 4 | Geek-Introvertido
  A20005570 | Óscar David Torres Álvarez          | Administración de Empresas | Masculino  | Sem: 5 | Geek-Introvertido
  A20125049 | Óscar David Torres Cruz             | Diseño Gráfico            | Masculino  | Sem: 4 | Geek-Introvertido
  A20082387 | Patricia Isabel Castillo Reyes      | Arquitectura              | Femenino   | Sem: 5 | Geek-Introvertido
  A20040845 | Patricia Isabel Ramírez Hernández   | Ingeniería Industrial     | Femenino   | Sem: 7 | Geek-Introvertido
  A20044515 | Patricia Isabel Ramírez Morales     | Diseño Gráfico            | Femenino   | Sem: 9 | Geek-Introvertido
  A20226800 | Patricia Isabel Rivera Ortiz        | Administración de Empresas | Femenino   | Sem: 1 | Geek-Introvertido
  A20242944 | Pedro Luis Cruz Gutiérrez           | Arquitectura              | Masculino  | Sem: 10 | Geek-Introvertido
  A20065948 | Pedro Luis Cruz Reyes               | Arquitectura              | Masculino  | Sem: 4 | Geek-Introvertido
  A20001098 | Pedro Luis Díaz Rivera              | Ingeniería Civil          | Masculino  | Sem: 10 | Geek-Introvertido
  A20027659 | Pedro Luis García Gómez             | Ingeniería Civil          | Masculino  | Sem: 2 | Geek-Introvertido
  A20085959 | Pedro Luis García Torres            | Diseño Gráfico            | Masculino  | Sem: 7 | Geek-Introvertido
  A20045665 | Pedro Luis González Gómez           | Ingeniería Industrial     | Masculino  | Sem: 1 | Geek-Introvertido
  A20114752 | Pedro Luis Reyes Ortiz              | Contaduría Pública        | Masculino  | Sem: 10 | Geek-Introvertido
  A20126127 | Pedro Luis Reyes Rivera             | Ingeniería Industrial     | Masculino  | Sem: 5 | Geek-Introvertido
  A20106354 | Pedro Luis Sánchez González         | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 5 | Geek-Introvertido
  A20190488 | Pedro Luis Torres Castillo          | Ingeniería Civil          | Masculino  | Sem: 1 | Geek-Introvertido
  A20247696 | Ricardo Iván Álvarez Álvarez        | Psicología                | Masculino  | Sem: 1 | Geek-Introvertido
  A20161736 | Ricardo Iván Castillo Rodríguez     | Ingeniería Mecatrónica    | Masculino  | Sem: 10 | Geek-Introvertido
  A20117630 | Ricardo Iván Flores Díaz            | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 7 | Geek-Introvertido
  A20244342 | Ricardo Iván Gómez Rodríguez        | Derecho                   | Masculino  | Sem: 8 | Geek-Introvertido
  A20050711 | Ricardo Iván González Gómez         | Arquitectura              | Masculino  | Sem: 6 | Geek-Introvertido
  A20007023 | Ricardo Iván López Díaz             | Arquitectura              | Masculino  | Sem: 1 | Geek-Introvertido
  A20023844 | Ricardo Iván Pérez Morales          | Arquitectura              | Masculino  | Sem: 6 | Geek-Introvertido
  A20003749 | Ricardo Iván Ramírez Hernández      | Arquitectura              | Masculino  | Sem: 1 | Geek-Introvertido
  A20134432 | Ricardo Iván Reyes Gómez            | Ingeniería Mecatrónica    | Masculino  | Sem: 5 | Geek-Introvertido
  A20225326 | Ricardo Iván Rodríguez Mendoza      | Diseño Gráfico            | Masculino  | Sem: 9 | Geek-Introvertido
  A20189622 | Roberto Carlos Álvarez Flores       | Diseño Gráfico            | Masculino  | Sem: 1 | Geek-Introvertido
  A20120250 | Roberto Carlos Álvarez López        | Ingeniería Mecatrónica    | Masculino  | Sem: 4 | Geek-Introvertido
  A20170663 | Roberto Carlos González Ruiz        | Arquitectura              | Masculino  | Sem: 8 | Geek-Introvertido
  A20065723 | Roberto Carlos Gutiérrez Hernández  | Arquitectura              | Masculino  | Sem: 7 | Geek-Introvertido
  A20019314 | Roberto Carlos Hernández Martínez   | Contaduría Pública        | Masculino  | Sem: 2 | Geek-Introvertido
  A20151068 | Roberto Carlos López Pérez          | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 7 | Geek-Introvertido
  A20231335 | Roberto Carlos Mendoza Díaz         | Ingeniería Mecatrónica    | Masculino  | Sem: 1 | Geek-Introvertido
  A20153943 | Roberto Carlos Morales Torres       | Ingeniería Mecatrónica    | Masculino  | Sem: 5 | Geek-Introvertido
  A20155168 | Roberto Carlos Sánchez Díaz         | Diseño Gráfico            | Masculino  | Sem: 9 | Geek-Introvertido
  A20184762 | Rosa María Álvarez Martínez         | Ingeniería Mecatrónica    | Femenino   | Sem: 4 | Geek-Introvertido
  A20051232 | Rosa María Díaz Álvarez             | Arquitectura              | Femenino   | Sem: 3 | Geek-Introvertido
  A20081688 | Rosa María Flores González          | Ingeniería Mecatrónica    | Femenino   | Sem: 4 | Geek-Introvertido
  A20039677 | Rosa María Gutiérrez Flores         | Arquitectura              | Femenino   | Sem: 5 | Geek-Introvertido
  A20055630 | Rosa María Jiménez Álvarez          | Psicología                | Femenino   | Sem: 8 | Geek-Introvertido
  A20076762 | Rosa María Pérez Flores             | Administración de Empresas | Femenino   | Sem: 7 | Geek-Introvertido
  A20237420 | Rosa María Pérez Mendoza            | Arquitectura              | Femenino   | Sem: 8 | Geek-Introvertido
  A20132853 | Rosa María Ramírez Mendoza          | Ingeniería Civil          | Femenino   | Sem: 8 | Geek-Introvertido
  A20155727 | Rosa María Ramírez Morales          | Derecho                   | Femenino   | Sem: 9 | Geek-Introvertido
  A20121130 | Rosa María Ramírez Ruiz             | Administración de Empresas | Femenino   | Sem: 3 | Geek-Introvertido
  A20085337 | Sofía Valentina Gómez Ortiz         | Psicología                | Femenino   | Sem: 5 | Geek-Introvertido
  A20157972 | Sofía Valentina González Martínez   | Diseño Gráfico            | Femenino   | Sem: 10 | Geek-Introvertido
  A20128472 | Sofía Valentina Morales López       | Psicología                | Femenino   | Sem: 8 | Geek-Introvertido
  A20069683 | Sofía Valentina Morales Pérez       | Derecho                   | Femenino   | Sem: 9 | Geek-Introvertido
  A20185831 | Valentina Andrea García Martínez    | Ingeniería Industrial     | Femenino   | Sem: 5 | Geek-Introvertido
  A20007128 | Valentina Andrea Gutiérrez Cruz     | Ingeniería Civil          | Femenino   | Sem: 4 | Geek-Introvertido
  A20189133 | Valentina Andrea Jiménez Morales    | Arquitectura              | Femenino   | Sem: 10 | Geek-Introvertido
  A20217658 | Valentina Andrea Mendoza Mendoza    | Derecho                   | Femenino   | Sem: 10 | Geek-Introvertido
  A20033798 | Valentina Andrea Rivera Cruz        | Administración de Empresas | Femenino   | Sem: 1 | Geek-Introvertido
  A20207585 | Valentina Andrea Rivera Ortiz       | Diseño Gráfico            | Femenino   | Sem: 3 | Geek-Introvertido
  A20225083 | Valentina Andrea Rodríguez Díaz     | Administración de Empresas | Femenino   | Sem: 7 | Geek-Introvertido
  A20123923 | Valentina Andrea Ruiz Mendoza       | Ingeniería Mecatrónica    | Femenino   | Sem: 7 | Geek-Introvertido

▼ SUAVECITO PA'BAJO - 180/180 inscritos
────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  A20202410 | Ana Laura González Díaz             | Ingeniería Civil          | Femenino   | Sem: 6 | Suavecito pa'bajo
  A20005903 | Ana Laura González Gómez            | Diseño Gráfico            | Femenino   | Sem: 5 | Suavecito pa'bajo
  A20025349 | Ana Laura Gutiérrez Pérez           | Ingeniería Civil          | Femenino   | Sem: 9 | Suavecito pa'bajo
  A20096436 | Ana Laura Gutiérrez Ramírez         | Administración de Empresas | Femenino   | Sem: 3 | Suavecito pa'bajo
  A20165087 | Ana Laura Morales Álvarez           | Ingeniería Civil          | Femenino   | Sem: 10 | Suavecito pa'bajo
  A20190095 | Ana Laura Reyes Cruz                | Ingeniería Civil          | Femenino   | Sem: 6 | Suavecito pa'bajo
  A20022910 | Ana Laura Ruiz González             | Ingeniería Civil          | Femenino   | Sem: 8 | Suavecito pa'bajo
  A20058079 | Andrea Carolina Cruz Martínez       | Psicología                | Femenino   | Sem: 7 | Suavecito pa'bajo
  A20210611 | Andrea Carolina Díaz Álvarez        | Ingeniería Mecatrónica    | Femenino   | Sem: 8 | Suavecito pa'bajo
  A20131395 | Andrea Carolina Díaz Ruiz           | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 4 | Suavecito pa'bajo
  A20145808 | Andrea Carolina González Rodríguez  | Ingeniería Civil          | Femenino   | Sem: 7 | Suavecito pa'bajo
  A20186405 | Andrea Carolina López Gutiérrez     | Psicología                | Femenino   | Sem: 10 | Suavecito pa'bajo
  A20174245 | Andrea Carolina Morales Gómez       | Ingeniería Mecatrónica    | Femenino   | Sem: 7 | Suavecito pa'bajo
  A20122062 | Andrea Carolina Ramírez Gutiérrez   | Ingeniería Civil          | Femenino   | Sem: 1 | Suavecito pa'bajo
  A20049049 | Andrea Carolina Rivera Mendoza      | Contaduría Pública        | Femenino   | Sem: 10 | Suavecito pa'bajo
  A20003696 | Arturo Ramón Álvarez Ortiz          | Ingeniería Civil          | Masculino  | Sem: 4 | Suavecito pa'bajo
  A20220943 | Arturo Ramón Gómez Gutiérrez        | Ingeniería Civil          | Masculino  | Sem: 4 | Suavecito pa'bajo
  A20245396 | Arturo Ramón Jiménez García         | Derecho                   | Masculino  | Sem: 6 | Suavecito pa'bajo
  A20045948 | Arturo Ramón Mendoza Ramírez        | Administración de Empresas | Masculino  | Sem: 5 | Suavecito pa'bajo
  A20143923 | Arturo Ramón Morales González       | Ingeniería Civil          | Masculino  | Sem: 2 | Suavecito pa'bajo
  A20051699 | Arturo Ramón Morales Torres         | Ingeniería Civil          | Masculino  | Sem: 8 | Suavecito pa'bajo
  A20213143 | Carlos Alberto Castillo Hernández   | Ingeniería Industrial     | Masculino  | Sem: 3 | Suavecito pa'bajo
  A20232658 | Carlos Alberto Castillo Mendoza     | Administración de Empresas | Masculino  | Sem: 2 | Suavecito pa'bajo
  A20073401 | Carlos Alberto Castillo Ruiz        | Diseño Gráfico            | Masculino  | Sem: 10 | Suavecito pa'bajo
  A20081558 | Carlos Alberto García Castillo      | Arquitectura              | Masculino  | Sem: 6 | Suavecito pa'bajo
  A20187248 | Carlos Alberto García Ortiz         | Contaduría Pública        | Masculino  | Sem: 2 | Suavecito pa'bajo
  A20022325 | Carlos Alberto González Martínez    | Diseño Gráfico            | Masculino  | Sem: 10 | Suavecito pa'bajo
  A20088043 | Carlos Alberto Hernández Rodríguez  | Diseño Gráfico            | Masculino  | Sem: 6 | Suavecito pa'bajo
  A20209775 | Carlos Alberto Sánchez Hernández    | Administración de Empresas | Masculino  | Sem: 9 | Suavecito pa'bajo
  A20122784 | Carmen Rosa Flores Cruz             | Derecho                   | Femenino   | Sem: 8 | Suavecito pa'bajo
  A20192918 | Carmen Rosa Gómez González          | Contaduría Pública        | Femenino   | Sem: 1 | Suavecito pa'bajo
  A20070559 | Carmen Rosa Gómez Jiménez           | Contaduría Pública        | Femenino   | Sem: 3 | Suavecito pa'bajo
  A20120789 | Carmen Rosa López López             | Derecho                   | Femenino   | Sem: 5 | Suavecito pa'bajo
  A20057171 | Carmen Rosa Torres Rivera           | Derecho                   | Femenino   | Sem: 10 | Suavecito pa'bajo
  A20004970 | Carolina Daniela Cruz Rivera        | Derecho                   | Femenino   | Sem: 9 | Suavecito pa'bajo
  A20174021 | Carolina Daniela García Gómez       | Ingeniería Industrial     | Femenino   | Sem: 5 | Suavecito pa'bajo
  A20167834 | Daniel Alejandro Gómez Rodríguez    | Administración de Empresas | Masculino  | Sem: 7 | Suavecito pa'bajo
  A20066808 | Daniel Alejandro Reyes Torres       | Administración de Empresas | Masculino  | Sem: 6 | Suavecito pa'bajo
  A20031065 | Daniel Alejandro Rodríguez Rivera   | Psicología                | Masculino  | Sem: 1 | Suavecito pa'bajo
  A20051579 | Daniel Alejandro Torres Morales     | Derecho                   | Masculino  | Sem: 1 | Suavecito pa'bajo
  A20036714 | Daniela Gabriela Álvarez Flores     | Ingeniería Civil          | Femenino   | Sem: 3 | Suavecito pa'bajo
  A20201720 | Daniela Gabriela Álvarez García     | Psicología                | Femenino   | Sem: 5 | Suavecito pa'bajo
  A20214426 | Daniela Gabriela Cruz Pérez         | Arquitectura              | Femenino   | Sem: 6 | Suavecito pa'bajo
  A20213575 | Daniela Gabriela Ortiz Pérez        | Contaduría Pública        | Femenino   | Sem: 7 | Suavecito pa'bajo
  A20052359 | Daniela Gabriela Rivera Reyes       | Diseño Gráfico            | Femenino   | Sem: 9 | Suavecito pa'bajo
  A20116803 | Daniela Gabriela Rodríguez Díaz     | Psicología                | Femenino   | Sem: 7 | Suavecito pa'bajo
  A20189464 | Daniela Gabriela Sánchez Sánchez    | Derecho                   | Femenino   | Sem: 5 | Suavecito pa'bajo
  A20227083 | Eduardo Manuel Álvarez Díaz         | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 7 | Suavecito pa'bajo
  A20160677 | Eduardo Manuel Díaz Gutiérrez       | Derecho                   | Masculino  | Sem: 2 | Suavecito pa'bajo
  A20246937 | Eduardo Manuel Pérez Ramírez        | Administración de Empresas | Masculino  | Sem: 10 | Suavecito pa'bajo
  A20093036 | Eduardo Manuel Rodríguez Gutiérrez  | Arquitectura              | Masculino  | Sem: 4 | Suavecito pa'bajo
  A20091781 | Eduardo Manuel Sánchez Morales      | Psicología                | Masculino  | Sem: 9 | Suavecito pa'bajo
  A20001037 | Eduardo Manuel Torres Morales       | Psicología                | Masculino  | Sem: 7 | Suavecito pa'bajo
  A20161745 | Eduardo Manuel Torres Sánchez       | Psicología                | Masculino  | Sem: 1 | Suavecito pa'bajo
  A20063859 | Elena Sofía Álvarez Díaz            | Administración de Empresas | Femenino   | Sem: 5 | Suavecito pa'bajo
  A20208015 | Elena Sofía Álvarez Ortiz           | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 10 | Suavecito pa'bajo
  A20014523 | Elena Sofía López González          | Administración de Empresas | Femenino   | Sem: 3 | Suavecito pa'bajo
  A20049355 | Elena Sofía Martínez Gutiérrez      | Arquitectura              | Femenino   | Sem: 10 | Suavecito pa'bajo
  A20192771 | Elena Sofía Pérez Ramírez           | Ingeniería Industrial     | Femenino   | Sem: 10 | Suavecito pa'bajo
  A20202849 | Elena Sofía Sánchez González        | Administración de Empresas | Femenino   | Sem: 9 | Suavecito pa'bajo
  A20195581 | Fernanda Alejandra Álvarez Reyes    | Derecho                   | Femenino   | Sem: 1 | Suavecito pa'bajo
  A20083498 | Fernanda Alejandra González Díaz    | Ingeniería Civil          | Femenino   | Sem: 5 | Suavecito pa'bajo
  A20197632 | Fernanda Alejandra López González   | Contaduría Pública        | Femenino   | Sem: 7 | Suavecito pa'bajo
  A20030344 | Fernanda Alejandra Mendoza Mendoza  | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 7 | Suavecito pa'bajo
  A20091918 | Fernanda Alejandra Morales López    | Arquitectura              | Femenino   | Sem: 1 | Suavecito pa'bajo
  A20067940 | Fernanda Alejandra Rivera Gutiérrez | Contaduría Pública        | Femenino   | Sem: 4 | Suavecito pa'bajo
  A20149036 | Fernanda Alejandra Rodríguez Gómez  | Ingeniería Mecatrónica    | Femenino   | Sem: 2 | Suavecito pa'bajo
  A20221902 | Fernando José Álvarez Rivera        | Ingeniería Mecatrónica    | Masculino  | Sem: 3 | Suavecito pa'bajo
  A20219207 | Fernando José Gómez Cruz            | Ingeniería Industrial     | Masculino  | Sem: 1 | Suavecito pa'bajo
  A20216694 | Fernando José Ruiz Sánchez          | Psicología                | Masculino  | Sem: 5 | Suavecito pa'bajo
  A20237567 | Francisco Javier Álvarez Ortiz      | Ingeniería Mecatrónica    | Masculino  | Sem: 9 | Suavecito pa'bajo
  A20078973 | Francisco Javier Cruz Rodríguez     | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 10 | Suavecito pa'bajo
  A20069807 | Francisco Javier Gómez Rivera       | Psicología                | Masculino  | Sem: 6 | Suavecito pa'bajo
  A20092016 | Francisco Javier Gutiérrez Rivera   | Ingeniería Industrial     | Masculino  | Sem: 2 | Suavecito pa'bajo
  A20177138 | Francisco Javier Gutiérrez Ruiz     | Ingeniería Civil          | Masculino  | Sem: 1 | Suavecito pa'bajo
  A20096352 | Francisco Javier Hernández Pérez    | Diseño Gráfico            | Masculino  | Sem: 9 | Suavecito pa'bajo
  A20109833 | Francisco Javier Martínez Álvarez   | Ingeniería Civil          | Masculino  | Sem: 8 | Suavecito pa'bajo
  A20180330 | Francisco Javier Rivera González    | Derecho                   | Masculino  | Sem: 4 | Suavecito pa'bajo
  A20077089 | Gabriela Fernanda Álvarez Ortiz     | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 8 | Suavecito pa'bajo
  A20093687 | Gabriela Fernanda Díaz López        | Psicología                | Femenino   | Sem: 4 | Suavecito pa'bajo
  A20164889 | Gabriela Fernanda Ramírez Álvarez   | Ingeniería Industrial     | Femenino   | Sem: 10 | Suavecito pa'bajo
  A20058472 | Gabriela Fernanda Rivera Ortiz      | Ingeniería Civil          | Femenino   | Sem: 5 | Suavecito pa'bajo
  A20222356 | Isabel Fernanda Cruz García         | Ingeniería Mecatrónica    | Femenino   | Sem: 5 | Suavecito pa'bajo
  A20216455 | Isabel Fernanda Cruz Rodríguez      | Psicología                | Femenino   | Sem: 2 | Suavecito pa'bajo
  A20178895 | Isabel Fernanda Díaz Castillo       | Diseño Gráfico            | Femenino   | Sem: 10 | Suavecito pa'bajo
  A20098166 | Isabel Fernanda Díaz Ortiz          | Ingeniería Mecatrónica    | Femenino   | Sem: 2 | Suavecito pa'bajo
  A20213685 | Isabel Fernanda Jiménez López       | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 2 | Suavecito pa'bajo
  A20201085 | Isabel Fernanda Martínez Rivera     | Ingeniería Industrial     | Femenino   | Sem: 1 | Suavecito pa'bajo
  A20075397 | Isabel Fernanda Torres Ruiz         | Derecho                   | Femenino   | Sem: 8 | Suavecito pa'bajo
  A20147435 | Jorge Alberto Castillo Sánchez      | Arquitectura              | Masculino  | Sem: 4 | Suavecito pa'bajo
  A20110213 | Jorge Alberto Cruz Reyes            | Diseño Gráfico            | Masculino  | Sem: 3 | Suavecito pa'bajo
  A20058334 | Jorge Alberto Gutiérrez Flores      | Ingeniería Industrial     | Masculino  | Sem: 8 | Suavecito pa'bajo
  A20230347 | Jorge Alberto Pérez Martínez        | Diseño Gráfico            | Masculino  | Sem: 5 | Suavecito pa'bajo
  A20098231 | Jorge Alberto Sánchez López         | Administración de Empresas | Masculino  | Sem: 9 | Suavecito pa'bajo
  A20023778 | Jorge Alberto Sánchez Ramírez       | Ingeniería Industrial     | Masculino  | Sem: 9 | Suavecito pa'bajo
  A20069382 | José Antonio Díaz Jiménez           | Arquitectura              | Masculino  | Sem: 6 | Suavecito pa'bajo
  A20125256 | José Antonio Flores López           | Arquitectura              | Masculino  | Sem: 1 | Suavecito pa'bajo
  A20125188 | José Antonio Gómez Rodríguez        | Administración de Empresas | Masculino  | Sem: 7 | Suavecito pa'bajo
  A20020557 | José Antonio Hernández Morales      | Administración de Empresas | Masculino  | Sem: 1 | Suavecito pa'bajo
  A20063195 | José Antonio Hernández Ramírez      | Ingeniería Mecatrónica    | Masculino  | Sem: 1 | Suavecito pa'bajo
  A20081746 | José Antonio Ortiz López            | Ingeniería Mecatrónica    | Masculino  | Sem: 2 | Suavecito pa'bajo
  A20070236 | José Antonio Ramírez Martínez       | Administración de Empresas | Masculino  | Sem: 2 | Suavecito pa'bajo
  A20047842 | José Antonio Rodríguez Martínez     | Derecho                   | Masculino  | Sem: 2 | Suavecito pa'bajo
  A20170495 | Juan Carlos Álvarez Álvarez         | Contaduría Pública        | Masculino  | Sem: 1 | Suavecito pa'bajo
  A20118029 | Juan Carlos Díaz Flores             | Ingeniería Civil          | Masculino  | Sem: 2 | Suavecito pa'bajo
  A20074013 | Juan Carlos Díaz Rivera             | Administración de Empresas | Masculino  | Sem: 10 | Suavecito pa'bajo
  A20029746 | Juan Carlos Gómez Hernández         | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 7 | Suavecito pa'bajo
  A20206312 | Juan Carlos Hernández López         | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 4 | Suavecito pa'bajo
  A20050366 | Juan Carlos López Ortiz             | Contaduría Pública        | Masculino  | Sem: 6 | Suavecito pa'bajo
