════════════════════════════════════════════════════════════════════════════════════════════════════════════════
                              ENCUENTRO MULTIDISCIPLINARIO VÓRTICE 2025
                                    LISTA DE PARTICIPANTES
                                Generado: 30/09/2025 22:12:12
════════════════════════════════════════════════════════════════════════════════════════════════════════════════


▼ RAYANDO-ANDO - 120/120 inscritos
────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  A20208528 | Ana Laura Díaz Jiménez              | Diseño Gráfico            | Femenino   | Sem: 10 | Rayando-Ando
  A20216416 | Gabriela Fernanda López Gómez       | Administración de Empresas | Femenino   | Sem: 5 | Geek-Introvertido
  A20181662 | Gabriela Fernanda Mendoza Gutiérrez | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 3 | Geek-Introvertido
  A20073641 | Gabriela Fernanda Mendoza Hernández | Diseño Gráfico            | Femenino   | Sem: 8 | Geek-Introvertido
  A20184019 | Gabriela Fernanda Pérez Ortiz       | Administración de Empresas | Femenino   | Sem: 9 | Geek-Introvertido
  A20074234 | Gabriela Fernanda Rivera Díaz       | Psicología                | Femenino   | Sem: 3 | Geek-Introvertido
  A20243058 | Gabriela Fernanda Sánchez Rodríguez | Ingeniería Civil          | Femenino   | Sem: 7 | Geek-Introvertido
  A20019677 | Isabel Fernanda Álvarez López       | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 3 | Geek-Introvertido
  A20147368 | Isabel Fernanda Díaz García         | Ingeniería Mecatrónica    | Femenino   | Sem: 5 | Geek-Introvertido
  A20017474 | Isabel Fernanda Flores Rivera       | Diseño Gráfico            | Femenino   | Sem: 1 | Geek-Introvertido
  A20094248 | Isabel Fernanda García Torres       | Derecho                   | Femenino   | Sem: 7 | Geek-Introvertido
  A20190666 | Isabel Fernanda Gómez Cruz          | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 8 | Geek-Introvertido
  A20068146 | Isabel Fernanda Mendoza Martínez    | Ingeniería Civil          | Femenino   | Sem: 9 | Geek-Introvertido
  A20128676 | Isabel Fernanda Pérez Morales       | Diseño Gráfico            | Femenino   | Sem: 8 | Geek-Introvertido
  A20198470 | Isabel Fernanda Reyes Álvarez       | Ingeniería Mecatrónica    | Femenino   | Sem: 3 | Geek-Introvertido
  A20004344 | Isabel Fernanda Rodríguez Mendoza   | Ingeniería Mecatrónica    | Femenino   | Sem: 6 | Geek-Introvertido
  A20184487 | Isabel Fernanda Rodríguez Morales   | Administración de Empresas | Femenino   | Sem: 7 | Geek-Introvertido
  A20170292 | Jorge Alberto Castillo Castillo     | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 7 | Geek-Introvertido
  A20206615 | Jorge Alberto González Hernández    | Administración de Empresas | Masculino  | Sem: 3 | Geek-Introvertido
  A20174619 | Jorge Alberto Martínez Cruz         | Ingeniería Civil          | Masculino  | Sem: 2 | Geek-Introvertido
  A20073039 | Jorge Alberto Morales Rivera        | Ingeniería Civil          | Masculino  | Sem: 5 | Geek-Introvertido
  A20001295 | Jorge Alberto Ortiz Sánchez         | Ingeniería Industrial     | Masculino  | Sem: 1 | Geek-Introvertido
  A20071968 | Jorge Alberto Rivera Reyes          | Derecho                   | Masculino  | Sem: 6 | Geek-Introvertido
  A20113806 | Jorge Alberto Ruiz Reyes            | Administración de Empresas | Masculino  | Sem: 4 | Geek-Introvertido
  A20011787 | José Antonio Flores Pérez           | Arquitectura              | Masculino  | Sem: 10 | Geek-Introvertido
  A20214614 | José Antonio Gutiérrez Flores       | Ingeniería Civil          | Masculino  | Sem: 4 | Geek-Introvertido
  A20172191 | José Antonio Hernández González     | Arquitectura              | Masculino  | Sem: 10 | Geek-Introvertido
  A20037477 | José Antonio Jiménez Gutiérrez      | Ingeniería Mecatrónica    | Masculino  | Sem: 9 | Geek-Introvertido
  A20181541 | José Antonio Jiménez Ramírez        | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 4 | Geek-Introvertido
  A20142573 | José Antonio Morales Álvarez        | Derecho                   | Masculino  | Sem: 1 | Geek-Introvertido
  A20069587 | José Antonio Pérez Cruz             | Diseño Gráfico            | Masculino  | Sem: 9 | Geek-Introvertido
  A20155060 | José Antonio Rivera González        | Diseño Gráfico            | Masculino  | Sem: 10 | Geek-Introvertido
  A20036543 | José Antonio Sánchez Martínez       | Psicología                | Masculino  | Sem: 10 | Geek-Introvertido
  A20017314 | José Antonio Torres Jiménez         | Contaduría Pública        | Masculino  | Sem: 7 | Geek-Introvertido
  A20179181 | Juan Carlos Díaz Gutiérrez          | Psicología                | Masculino  | Sem: 6 | Geek-Introvertido
  A20140248 | Juan Carlos Flores Martínez         | Contaduría Pública        | Masculino  | Sem: 6 | Geek-Introvertido
  A20226883 | Juan Carlos Gutiérrez Morales       | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 1 | Geek-Introvertido
  A20188584 | Juan Carlos Torres Rodríguez        | Derecho                   | Masculino  | Sem: 3 | Geek-Introvertido
  A20213960 | Laura Patricia Álvarez Álvarez      | Ingeniería Industrial     | Femenino   | Sem: 7 | Geek-Introvertido
  A20206576 | Laura Patricia Díaz Castillo        | Administración de Empresas | Femenino   | Sem: 5 | Geek-Introvertido
  A20245371 | Laura Patricia Flores Morales       | Administración de Empresas | Femenino   | Sem: 8 | Geek-Introvertido
  A20015584 | Laura Patricia Gutiérrez González   | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 10 | Geek-Introvertido
  A20061979 | Laura Patricia Hernández Jiménez    | Contaduría Pública        | Femenino   | Sem: 9 | Geek-Introvertido
  A20140304 | Laura Patricia Jiménez Mendoza      | Administración de Empresas | Femenino   | Sem: 10 | Geek-Introvertido
  A20014418 | Laura Patricia Ramírez Gutiérrez    | Administración de Empresas | Femenino   | Sem: 6 | Geek-Introvertido
  A20124513 | Laura Patricia Sánchez Gutiérrez    | Contaduría Pública        | Femenino   | Sem: 9 | Geek-Introvertido
  A20227404 | Luis Miguel Álvarez Álvarez         | Arquitectura              | Masculino  | Sem: 10 | Geek-Introvertido
  A20039715 | Luis Miguel González Álvarez        | Ingeniería Industrial     | Masculino  | Sem: 7 | Geek-Introvertido
  A20029486 | Luis Miguel Hernández Pérez         | Psicología                | Masculino  | Sem: 4 | Geek-Introvertido
  A20055105 | Luis Miguel Mendoza Cruz            | Derecho                   | Masculino  | Sem: 7 | Geek-Introvertido
  A20073820 | Luis Miguel Reyes Gómez             | Arquitectura              | Masculino  | Sem: 2 | Geek-Introvertido
  A20227762 | Luis Miguel Rivera Ramírez          | Ingeniería Mecatrónica    | Masculino  | Sem: 7 | Geek-Introvertido
  A20175404 | Luis Miguel Rodríguez Álvarez       | Contaduría Pública        | Masculino  | Sem: 5 | Geek-Introvertido
  A20090805 | Luis Miguel Torres Castillo         | Administración de Empresas | Masculino  | Sem: 10 | Geek-Introvertido
  A20219144 | María Elena Cruz Ramírez            | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 7 | Geek-Introvertido
  A20131272 | María Elena Díaz Martínez           | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 2 | Geek-Introvertido
  A20012800 | María Elena Hernández Gutiérrez     | Psicología                | Femenino   | Sem: 8 | Geek-Introvertido
  A20029426 | María Elena López Rodríguez         | Ingeniería Industrial     | Femenino   | Sem: 1 | Geek-Introvertido
  A20076647 | María Elena Martínez Torres         | Derecho                   | Femenino   | Sem: 3 | Geek-Introvertido
  A20143994 | María Elena Morales Gutiérrez       | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 1 | Geek-Introvertido
  A20050040 | María Elena Ortiz Hernández         | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 4 | Geek-Introvertido
  A20042683 | María Elena Ortiz López             | Ingeniería Civil          | Femenino   | Sem: 2 | Geek-Introvertido
  A20023230 | María Elena Ramírez Ortiz           | Ingeniería Civil          | Femenino   | Sem: 5 | Geek-Introvertido
  A20127158 | María Elena Reyes Álvarez           | Arquitectura              | Femenino   | Sem: 1 | Geek-Introvertido
  A20001169 | Miguel Ángel Álvarez Cruz           | Contaduría Pública        | Masculino  | Sem: 5 | Geek-Introvertido
  A20039802 | Miguel Ángel García Gómez           | Diseño Gráfico            | Masculino  | Sem: 3 | Geek-Introvertido
  A20192852 | Miguel Ángel González Pérez         | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 6 | Geek-Introvertido
  A20017608 | Miguel Ángel Pérez Díaz             | Derecho                   | Masculino  | Sem: 3 | Geek-Introvertido
  A20109898 | Miguel Ángel Pérez Mendoza          | Contaduría Pública        | Masculino  | Sem: 3 | Geek-Introvertido
  A20234978 | Miguel Ángel Ramírez Rodríguez      | Ingeniería Civil          | Masculino  | Sem: 3 | Geek-Introvertido
  A20157838 | Miguel Ángel Reyes Torres           | Diseño Gráfico            | Masculino  | Sem: 3 | Geek-Introvertido
  A20246363 | Miguel Ángel Ruiz Gutiérrez         | Ingeniería Mecatrónica    | Masculino  | Sem: 1 | Geek-Introvertido
  A20021660 | Óscar David Díaz Torres             | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 10 | Geek-Introvertido
  A20202824 | Óscar David García Hernández        | Administración de Empresas | Masculino  | Sem: 5 | Geek-Introvertido
  A20082968 | Óscar David Gómez Flores            | Psicología                | Masculino  | Sem: 3 | Geek-Introvertido
  A20218807 | Óscar David Gómez Rivera            | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 3 | Geek-Introvertido
  A20243215 | Óscar David Martínez Hernández      | Psicología                | Masculino  | Sem: 1 | Geek-Introvertido
  A20114756 | Óscar David Martínez Pérez          | Arquitectura              | Masculino  | Sem: 7 | Geek-Introvertido
  A20074784 | Óscar David Ortiz Díaz              | Contaduría Pública        | Masculino  | Sem: 6 | Geek-Introvertido
  A20074839 | Óscar David Ruiz Rivera             | Ingeniería Civil          | Masculino  | Sem: 8 | Geek-Introvertido
  A20134351 | Óscar David Sánchez Martínez        | Ingeniería Industrial     | Masculino  | Sem: 9 | Geek-Introvertido
  A20114938 | Patricia Isabel Cruz Jiménez        | Ingeniería Mecatrónica    | Femenino   | Sem: 4 | Geek-Introvertido
  A20183232 | Patricia Isabel Gutiérrez Pérez     | Contaduría Pública        | Femenino   | Sem: 10 | Geek-Introvertido
  A20084748 | Patricia Isabel Jiménez González    | Derecho                   | Femenino   | Sem: 3 | Geek-Introvertido
  A20224692 | Patricia Isabel Jiménez Martínez    | Diseño Gráfico            | Femenino   | Sem: 9 | Geek-Introvertido
  A20072691 | Patricia Isabel López Ruiz          | Psicología                | Femenino   | Sem: 4 | Geek-Introvertido
  A20234755 | Patricia Isabel Morales Castillo    | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 10 | Geek-Introvertido
  A20114906 | Patricia Isabel Morales Mendoza     | Ingeniería Civil          | Femenino   | Sem: 10 | Geek-Introvertido
  A20135609 | Patricia Isabel Torres Cruz         | Arquitectura              | Femenino   | Sem: 10 | Geek-Introvertido
  A20027541 | Patricia Isabel Torres Morales      | Ingeniería Industrial     | Femenino   | Sem: 5 | Geek-Introvertido
  A20248612 | Pedro Luis Flores Sánchez           | Administración de Empresas | Masculino  | Sem: 10 | Geek-Introvertido
  A20153843 | Pedro Luis Hernández González       | Administración de Empresas | Masculino  | Sem: 5 | Geek-Introvertido
  A20080082 | Pedro Luis Morales López            | Ingeniería Industrial     | Masculino  | Sem: 10 | Geek-Introvertido
  A20223751 | Pedro Luis Ortiz Díaz               | Contaduría Pública        | Masculino  | Sem: 5 | Geek-Introvertido
  A20176481 | Pedro Luis Pérez Cruz               | Arquitectura              | Masculino  | Sem: 8 | Geek-Introvertido
  A20051592 | Pedro Luis Reyes Torres             | Ingeniería Industrial     | Masculino  | Sem: 4 | Geek-Introvertido
  A20183169 | Ricardo Iván Cruz Hernández         | Ingeniería Civil          | Masculino  | Sem: 8 | Geek-Introvertido
  A20230273 | Ricardo Iván González Reyes         | Diseño Gráfico            | Masculino  | Sem: 8 | Geek-Introvertido
  A20167676 | Ricardo Iván López Gómez            | Ingeniería Mecatrónica    | Masculino  | Sem: 4 | Geek-Introvertido
  A20019466 | Ricardo Iván Mendoza Martínez       | Derecho                   | Masculino  | Sem: 4 | Geek-Introvertido
  A20006716 | Ricardo Iván Ramírez Sánchez        | Ingeniería Mecatrónica    | Masculino  | Sem: 2 | Geek-Introvertido
  A20189354 | Ricardo Iván Torres Martínez        | Administración de Empresas | Masculino  | Sem: 10 | Geek-Introvertido
  A20248146 | Roberto Carlos Díaz Rodríguez       | Ingeniería Civil          | Masculino  | Sem: 1 | Geek-Introvertido
  A20120276 | Roberto Carlos Gómez González       | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 8 | Geek-Introvertido
  A20248285 | Roberto Carlos Martínez Sánchez     | Ingeniería Civil          | Masculino  | Sem: 4 | Geek-Introvertido
  A20191428 | Roberto Carlos Ortiz Díaz           | Ingeniería Mecatrónica    | Masculino  | Sem: 8 | Geek-Introvertido
  A20033250 | Roberto Carlos Sánchez Mendoza      | Administración de Empresas | Masculino  | Sem: 6 | Geek-Introvertido
  A20082577 | Rosa María Castillo Flores          | Arquitectura              | Femenino   | Sem: 6 | Geek-Introvertido
  A20015479 | Rosa María Díaz Rivera              | Psicología                | Femenino   | Sem: 6 | Geek-Introvertido
  A20249621 | Rosa María Díaz Rodríguez           | Ingeniería Mecatrónica    | Femenino   | Sem: 6 | Geek-Introvertido
  A20128455 | Rosa María Gómez Rivera             | Ingeniería Mecatrónica    | Femenino   | Sem: 9 | Geek-Introvertido
  A20197369 | Rosa María Hernández Álvarez        | Derecho                   | Femenino   | Sem: 10 | Geek-Introvertido
  A20188463 | Sofía Valentina Díaz Gutiérrez      | Psicología                | Femenino   | Sem: 2 | Geek-Introvertido
  A20084978 | Sofía Valentina González Sánchez    | Psicología                | Femenino   | Sem: 8 | Geek-Introvertido
  A20137761 | Sofía Valentina Hernández Ruiz      | Administración de Empresas | Femenino   | Sem: 2 | Geek-Introvertido
  A20038622 | Sofía Valentina Jiménez Díaz        | Diseño Gráfico            | Femenino   | Sem: 6 | Geek-Introvertido
  A20105815 | Sofía Valentina Martínez Reyes      | Psicología                | Femenino   | Sem: 5 | Geek-Introvertido
  A20169077 | Sofía Valentina Rivera Sánchez      | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 4 | Geek-Introvertido
  A20062562 | Valentina Andrea Castillo Cruz      | Administración de Empresas | Femenino   | Sem: 8 | Geek-Introvertido
  A20121274 | Valentina Andrea García Díaz        | Diseño Gráfico            | Femenino   | Sem: 5 | Geek-Introvertido
  A20243581 | Valentina Andrea González Morales   | Diseño Gráfico            | Femenino   | Sem: 4 | Geek-Introvertido
  A20068796 | Valentina Andrea Ortiz Ortiz        | Administración de Empresas | Femenino   | Sem: 10 | Geek-Introvertido
  A20207681 | Valentina Andrea Rivera López       | Diseño Gráfico            | Femenino   | Sem: 2 | Geek-Introvertido

▼ SUAVECITO PA'BAJO - 180/180 inscritos
────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  A20137507 | Ana Laura Gómez Castillo            | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 4 | Suavecito pa'bajo
  A20187945 | Ana Laura Sánchez García            | Derecho                   | Femenino   | Sem: 8 | Suavecito pa'bajo
  A20233101 | Ana Laura Sánchez Mendoza           | Ingeniería Civil          | Femenino   | Sem: 4 | Suavecito pa'bajo
  A20068185 | Andrea Carolina Cruz Díaz           | Psicología                | Femenino   | Sem: 6 | Suavecito pa'bajo
  A20170420 | Andrea Carolina Díaz Díaz           | Administración de Empresas | Femenino   | Sem: 2 | Suavecito pa'bajo
  A20023075 | Andrea Carolina Flores Castillo     | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 4 | Suavecito pa'bajo
  A20023336 | Andrea Carolina Mendoza Torres      | Ingeniería Mecatrónica    | Femenino   | Sem: 2 | Suavecito pa'bajo
  A20054293 | Andrea Carolina Morales González    | Ingeniería Mecatrónica    | Femenino   | Sem: 10 | Suavecito pa'bajo
  A20029249 | Andrea Carolina Pérez Martínez      | Ingeniería Mecatrónica    | Femenino   | Sem: 4 | Suavecito pa'bajo
  A20078225 | Andrea Carolina Rodríguez Flores    | Ingeniería Mecatrónica    | Femenino   | Sem: 6 | Suavecito pa'bajo
  A20146985 | Arturo Ramón Flores Cruz            | Psicología                | Masculino  | Sem: 6 | Suavecito pa'bajo
  A20123804 | Arturo Ramón García García          | Psicología                | Masculino  | Sem: 6 | Suavecito pa'bajo
  A20020825 | Arturo Ramón Rivera Jiménez         | Contaduría Pública        | Masculino  | Sem: 6 | Suavecito pa'bajo
  A20166887 | Arturo Ramón Rivera Morales         | Derecho                   | Masculino  | Sem: 1 | Suavecito pa'bajo
  A20015781 | Arturo Ramón Sánchez González       | Contaduría Pública        | Masculino  | Sem: 9 | Suavecito pa'bajo
  A20183965 | Arturo Ramón Torres Gutiérrez       | Derecho                   | Masculino  | Sem: 5 | Suavecito pa'bajo
  A20139138 | Carlos Alberto González Ruiz        | Diseño Gráfico            | Masculino  | Sem: 8 | Suavecito pa'bajo
  A20059435 | Carlos Alberto Martínez Pérez       | Administración de Empresas | Masculino  | Sem: 10 | Suavecito pa'bajo
  A20179291 | Carmen Rosa Flores Rivera           | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 3 | Suavecito pa'bajo
  A20198542 | Carmen Rosa Rivera Jiménez          | Derecho                   | Femenino   | Sem: 3 | Suavecito pa'bajo
  A20211985 | Carmen Rosa Sánchez Morales         | Ingeniería Mecatrónica    | Femenino   | Sem: 1 | Suavecito pa'bajo
  A20160159 | Carolina Daniela Álvarez González   | Arquitectura              | Femenino   | Sem: 8 | Suavecito pa'bajo
  A20112121 | Carolina Daniela García Gutiérrez   | Arquitectura              | Femenino   | Sem: 2 | Suavecito pa'bajo
  A20189852 | Carolina Daniela Gutiérrez Flores   | Diseño Gráfico            | Femenino   | Sem: 2 | Suavecito pa'bajo
  A20202320 | Carolina Daniela López Torres       | Administración de Empresas | Femenino   | Sem: 7 | Suavecito pa'bajo
  A20130826 | Daniel Alejandro Flores Castillo    | Diseño Gráfico            | Masculino  | Sem: 1 | Suavecito pa'bajo
  A20122909 | Daniel Alejandro García Castillo    | Administración de Empresas | Masculino  | Sem: 2 | Suavecito pa'bajo
  A20239295 | Daniel Alejandro Gómez Gómez        | Arquitectura              | Masculino  | Sem: 7 | Suavecito pa'bajo
  A20067831 | Daniel Alejandro Hernández Flores   | Administración de Empresas | Masculino  | Sem: 5 | Suavecito pa'bajo
  A20079702 | Daniel Alejandro Hernández Morales  | Arquitectura              | Masculino  | Sem: 9 | Suavecito pa'bajo
  A20220491 | Daniel Alejandro Ortiz García       | Diseño Gráfico            | Masculino  | Sem: 3 | Suavecito pa'bajo
  A20249693 | Daniel Alejandro Rivera Hernández   | Arquitectura              | Masculino  | Sem: 1 | Suavecito pa'bajo
  A20036778 | Daniel Alejandro Ruiz Sánchez       | Ingeniería Mecatrónica    | Masculino  | Sem: 1 | Suavecito pa'bajo
  A20135957 | Daniela Gabriela Castillo López     | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 1 | Suavecito pa'bajo
  A20234080 | Daniela Gabriela Díaz Reyes         | Psicología                | Femenino   | Sem: 4 | Suavecito pa'bajo
  A20235482 | Daniela Gabriela González Ortiz     | Administración de Empresas | Femenino   | Sem: 4 | Suavecito pa'bajo
  A20070606 | Daniela Gabriela Martínez Torres    | Administración de Empresas | Femenino   | Sem: 4 | Suavecito pa'bajo
  A20098812 | Daniela Gabriela Torres Flores      | Ingeniería Industrial     | Femenino   | Sem: 7 | Suavecito pa'bajo
  A20234313 | Eduardo Manuel Cruz Díaz            | Ingeniería Industrial     | Masculino  | Sem: 9 | Suavecito pa'bajo
  A20191715 | Eduardo Manuel García Torres        | Contaduría Pública        | Masculino  | Sem: 4 | Suavecito pa'bajo
  A20015783 | Eduardo Manuel Jiménez Gómez        | Ingeniería Industrial     | Masculino  | Sem: 8 | Suavecito pa'bajo
  A20139679 | Eduardo Manuel López Gómez          | Ingeniería Industrial     | Masculino  | Sem: 6 | Suavecito pa'bajo
  A20137743 | Eduardo Manuel Mendoza González     | Diseño Gráfico            | Masculino  | Sem: 6 | Suavecito pa'bajo
  A20130354 | Elena Sofía Álvarez Ruiz            | Ingeniería Industrial     | Femenino   | Sem: 4 | Suavecito pa'bajo
  A20047220 | Elena Sofía Castillo Martínez       | Arquitectura              | Femenino   | Sem: 2 | Suavecito pa'bajo
  A20199550 | Elena Sofía Díaz Flores             | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 8 | Suavecito pa'bajo
  A20003816 | Elena Sofía Morales Ruiz            | Ingeniería Mecatrónica    | Femenino   | Sem: 9 | Suavecito pa'bajo
  A20078409 | Elena Sofía Ramírez Sánchez         | Administración de Empresas | Femenino   | Sem: 3 | Suavecito pa'bajo
  A20214097 | Elena Sofía Ramírez Torres          | Ingeniería Mecatrónica    | Femenino   | Sem: 7 | Suavecito pa'bajo
  A20041685 | Elena Sofía Reyes García            | Ingeniería Mecatrónica    | Femenino   | Sem: 6 | Suavecito pa'bajo
  A20167910 | Elena Sofía Reyes Rodríguez         | Administración de Empresas | Femenino   | Sem: 9 | Suavecito pa'bajo
  A20234601 | Elena Sofía Rivera Jiménez          | Contaduría Pública        | Femenino   | Sem: 9 | Suavecito pa'bajo
  A20102317 | Fernanda Alejandra Castillo Díaz    | Arquitectura              | Femenino   | Sem: 8 | Suavecito pa'bajo
  A20142454 | Fernanda Alejandra Castillo Gutiérrez | Arquitectura              | Femenino   | Sem: 10 | Suavecito pa'bajo
  A20116976 | Fernanda Alejandra Cruz Álvarez     | Psicología                | Femenino   | Sem: 10 | Suavecito pa'bajo
  A20230551 | Fernanda Alejandra Flores Gómez     | Ingeniería Industrial     | Femenino   | Sem: 1 | Suavecito pa'bajo
  A20028294 | Fernanda Alejandra García Reyes     | Contaduría Pública        | Femenino   | Sem: 6 | Suavecito pa'bajo
  A20205153 | Fernanda Alejandra Gutiérrez Cruz   | Ingeniería Industrial     | Femenino   | Sem: 6 | Suavecito pa'bajo
  A20182158 | Fernanda Alejandra Hernández Flores | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 6 | Suavecito pa'bajo
  A20236569 | Fernanda Alejandra Jiménez Ruiz     | Diseño Gráfico            | Femenino   | Sem: 3 | Suavecito pa'bajo
  A20133801 | Fernanda Alejandra Reyes Reyes      | Ingeniería Mecatrónica    | Femenino   | Sem: 10 | Suavecito pa'bajo
  A20155131 | Fernando José Castillo Díaz         | Ingeniería Civil          | Masculino  | Sem: 7 | Suavecito pa'bajo
  A20111156 | Fernando José Castillo Ortiz        | Derecho                   | Masculino  | Sem: 7 | Suavecito pa'bajo
  A20046236 | Fernando José Cruz Flores           | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 3 | Suavecito pa'bajo
  A20155616 | Fernando José Jiménez López         | Ingeniería Civil          | Masculino  | Sem: 6 | Suavecito pa'bajo
  A20053793 | Fernando José Morales Ruiz          | Ingeniería Civil          | Masculino  | Sem: 9 | Suavecito pa'bajo
  A20204955 | Fernando José Rivera Ruiz           | Ingeniería Mecatrónica    | Masculino  | Sem: 6 | Suavecito pa'bajo
  A20162712 | Fernando José Sánchez Gómez         | Administración de Empresas | Masculino  | Sem: 3 | Suavecito pa'bajo
  A20136355 | Fernando José Torres García         | Diseño Gráfico            | Masculino  | Sem: 9 | Suavecito pa'bajo
  A20023067 | Fernando José Torres Hernández      | Diseño Gráfico            | Masculino  | Sem: 7 | Suavecito pa'bajo
  A20164816 | Francisco Javier González Cruz      | Ingeniería Mecatrónica    | Masculino  | Sem: 2 | Suavecito pa'bajo
  A20051209 | Francisco Javier González Reyes     | Derecho                   | Masculino  | Sem: 8 | Suavecito pa'bajo
  A20104585 | Francisco Javier Gutiérrez Ortiz    | Administración de Empresas | Masculino  | Sem: 3 | Suavecito pa'bajo
  A20159038 | Francisco Javier Mendoza Cruz       | Diseño Gráfico            | Masculino  | Sem: 5 | Suavecito pa'bajo
  A20124006 | Francisco Javier Rodríguez Álvarez  | Psicología                | Masculino  | Sem: 5 | Suavecito pa'bajo
  A20045246 | Gabriela Fernanda Álvarez Gutiérrez | Contaduría Pública        | Femenino   | Sem: 4 | Suavecito pa'bajo
  A20215641 | Gabriela Fernanda Gutiérrez Cruz    | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 2 | Suavecito pa'bajo
  A20244176 | Gabriela Fernanda Ramírez Torres    | Psicología                | Femenino   | Sem: 1 | Suavecito pa'bajo
  A20042119 | Isabel Fernanda Cruz Cruz           | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 8 | Suavecito pa'bajo
  A20003410 | Isabel Fernanda Cruz Díaz           | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 5 | Suavecito pa'bajo
  A20021859 | Isabel Fernanda Cruz Ortiz          | Ingeniería Civil          | Femenino   | Sem: 2 | Suavecito pa'bajo
  A20008903 | Isabel Fernanda Gómez Ortiz         | Derecho                   | Femenino   | Sem: 8 | Suavecito pa'bajo
  A20042493 | Isabel Fernanda Jiménez Gómez       | Ingeniería Mecatrónica    | Femenino   | Sem: 8 | Suavecito pa'bajo
  A20079852 | Isabel Fernanda Martínez Castillo   | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 6 | Suavecito pa'bajo
  A20085840 | Isabel Fernanda Martínez Sánchez    | Arquitectura              | Femenino   | Sem: 7 | Suavecito pa'bajo
  A20059104 | Isabel Fernanda Ortiz Torres        | Psicología                | Femenino   | Sem: 5 | Suavecito pa'bajo
  A20016412 | Isabel Fernanda Rodríguez Flores    | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 4 | Suavecito pa'bajo
  A20017626 | Jorge Alberto Cruz Rodríguez        | Diseño Gráfico            | Masculino  | Sem: 1 | Suavecito pa'bajo
  A20206305 | Jorge Alberto Flores Sánchez        | Psicología                | Masculino  | Sem: 7 | Suavecito pa'bajo
  A20007570 | Jorge Alberto Gutiérrez Álvarez     | Contaduría Pública        | Masculino  | Sem: 3 | Suavecito pa'bajo
  A20167024 | Jorge Alberto Ortiz Díaz            | Ingeniería Civil          | Masculino  | Sem: 8 | Suavecito pa'bajo
  A20118902 | Jorge Alberto Pérez Ramírez         | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 4 | Suavecito pa'bajo
  A20015004 | Jorge Alberto Torres González       | Administración de Empresas | Masculino  | Sem: 8 | Suavecito pa'bajo
  A20199542 | José Antonio Álvarez Flores         | Ingeniería Industrial     | Masculino  | Sem: 7 | Suavecito pa'bajo
  A20010032 | José Antonio Castillo Hernández     | Diseño Gráfico            | Masculino  | Sem: 10 | Suavecito pa'bajo
  A20225248 | José Antonio Gómez Álvarez          | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 10 | Suavecito pa'bajo
  A20138225 | José Antonio López Ortiz            | Arquitectura              | Masculino  | Sem: 2 | Suavecito pa'bajo
  A20064941 | José Antonio Mendoza Castillo       | Administración de Empresas | Masculino  | Sem: 5 | Suavecito pa'bajo
  A20059811 | José Antonio Pérez Ramírez          | Psicología                | Masculino  | Sem: 6 | Suavecito pa'bajo
  A20136541 | José Antonio Pérez Rodríguez        | Administración de Empresas | Masculino  | Sem: 6 | Suavecito pa'bajo
  A20109386 | José Antonio Rodríguez Díaz         | Administración de Empresas | Masculino  | Sem: 9 | Suavecito pa'bajo
  A20011837 | Juan Carlos Díaz Ramírez            | Contaduría Pública        | Masculino  | Sem: 4 | Suavecito pa'bajo
  A20152547 | Juan Carlos Hernández Pérez         | Administración de Empresas | Masculino  | Sem: 1 | Suavecito pa'bajo
  A20085722 | Juan Carlos Mendoza Flores          | Derecho                   | Masculino  | Sem: 2 | Suavecito pa'bajo
  A20149868 | Juan Carlos Morales Cruz            | Administración de Empresas | Masculino  | Sem: 5 | Suavecito pa'bajo
